Day,Order,Target,Location,Fold Change,StDev
1,1,IFN-g,Duodenum,-1.750896098,0.027477611
1,2,IFN-g,Duodenum (Lymph),-0.375563984,0.055798435
1,3,IFN-g,Proximal Jejunum,-1.298230671,0.020947691
1,4,IFN-g,Middle Jejunum,-0.169114712,0.486434106
1,5,IFN-g,Distal Jejunum,0.94333189,0.465226111
1,6,IFN-g,Jejunum (Lymph),-0.512678167,0.016437221
1,7,IFN-g,Jejunum (Peyer's),-0.968062963,0.184981148
1,8,IFN-g,Ileum,-0.797182914,0.057690257
1,9,IFN-g,Ileum (Lymph),-0.887265289,0.079035111
1,10,IFN-g,Ileum (Peyer's),-1.386679525,0.049285844
1,11,IFN-g,Colon,-1.983029092,0.033608862
1,12,IFN-g,Colon (Lymph),-1.271943124,0.028562337
1,13,IFN-g,Prescapular (Lymph),-0.793922809,0.052082692
1,14,IFN-g,Bronch (Lymph),0.040954266,0.279567706
1,1,IL-10,Duodenum,-2.903776036,0.004501552
1,2,IL-10,Duodenum (Lymph),0.862454366,0.245771557
1,3,IL-10,Proximal Jejunum,-1.9654052,0.01079484
1,4,IL-10,Middle Jejunum,-2.053359522,0.010627696
1,5,IL-10,Distal Jejunum,-3.570206522,0.010990859
1,6,IL-10,Jejunum (Lymph),0.138356729,0.06216172
1,7,IL-10,Jejunum (Peyer's),-0.887935522,0.098810176
1,8,IL-10,Ileum,1.295781006,0.131716208
1,9,IL-10,Ileum (Lymph),0.594213876,0.071370504
1,10,IL-10,Ileum (Peyer's),0.227988667,0.317673981
1,11,IL-10,Colon,-2.97205596,0.004347895
1,12,IL-10,Colon (Lymph),0.423735345,0.030677878
1,13,IL-10,Prescapular (Lymph),1.820501634,0.336974999
1,14,IL-10,Bronch (Lymph),0.674261286,0.018909981
1,1,IL-4,Duodenum,-2.181776885,0.020185637
1,2,IL-4,Duodenum (Lymph),1.428719735,0.234122447
1,3,IL-4,Proximal Jejunum,-1.491638148,0.108485959
1,4,IL-4,Middle Jejunum,-1.781253528,0.061850988
1,5,IL-4,Distal Jejunum,0.054423538,0.249932148
1,6,IL-4,Jejunum (Lymph),0.735413407,0.250227366
1,7,IL-4,Jejunum (Peyer's),-1.171543971,0.031626923
1,8,IL-4,Ileum,-2.144539106,0.017225018
1,9,IL-4,Ileum (Lymph),1.221021955,0.425619928
1,10,IL-4,Ileum (Peyer's),-2.412569194,0.005693969
1,11,IL-4,Colon,-2.525796945,0.001152965
1,12,IL-4,Colon (Lymph),-0.022605899,0.09134688
1,13,IL-4,Prescapular (Lymph),1.064688529,0.108093122
1,14,IL-4,Bronch (Lymph),2.099845048,0.27788614
1,1,TLR-10,Duodenum,-1.426096558,0.069183897
1,2,TLR-10,Duodenum (Lymph),1.071628345,0.234722291
1,3,TLR-10,Proximal Jejunum,-2.983564219,0.036084687
1,4,TLR-10,Middle Jejunum,-1.168803665,0.309051968
1,5,TLR-10,Distal Jejunum,1.958418198,0.531205528
1,6,TLR-10,Jejunum (Lymph),1.273277571,0.084539999
1,7,TLR-10,Jejunum (Peyer's),-0.173076088,0.844675372
1,8,TLR-10,Ileum,2.100099393,1.113832932
1,9,TLR-10,Ileum (Lymph),1.607928124,0.625470829
1,10,TLR-10,Ileum (Peyer's),1.600950595,0.351627199
1,11,TLR-10,Colon,-3.587585363,0.020012991
1,12,TLR-10,Colon (Lymph),1.417029566,0.31226501
1,13,TLR-10,Prescapular (Lymph),0.032884865,0.066944358
1,14,TLR-10,Bronch (Lymph),1.062500799,0.739283518
1,1,TLR-2,Duodenum,-1.225950796,0.064381952
1,2,TLR-2,Duodenum (Lymph),0.624953329,0.210904794
1,3,TLR-2,Proximal Jejunum,-2.147842507,0.046137311
1,4,TLR-2,Middle Jejunum,-0.684882381,0.25979326
1,5,TLR-2,Distal Jejunum,1.064527944,0.328585201
1,6,TLR-2,Jejunum (Lymph),0.979389788,0.09504419
1,7,TLR-2,Jejunum (Peyer's),-0.535168484,0.681605748
1,8,TLR-2,Ileum,0.13405738,0.693468143
1,9,TLR-2,Ileum (Lymph),0.243836992,0.091577416
1,10,TLR-2,Ileum (Peyer's),-0.282485598,0.049298943
1,11,TLR-2,Colon,-1.646245315,0.043289556
1,12,TLR-2,Colon (Lymph),0.348333284,0.084455624
1,13,TLR-2,Prescapular (Lymph),0.580535871,0.027730947
1,14,TLR-2,Bronch (Lymph),1.405968592,0.615280202
1,1,TLR-4,Duodenum,-0.451494837,0.053137007
1,2,TLR-4,Duodenum (Lymph),0.463031031,0.093023685
1,3,TLR-4,Proximal Jejunum,-1.411979275,0.038569723
1,4,TLR-4,Middle Jejunum,-0.551588495,0.145889568
1,5,TLR-4,Distal Jejunum,1.082559885,0.241085771
1,6,TLR-4,Jejunum (Lymph),0.576528151,0.049243486
1,7,TLR-4,Jejunum (Peyer's),-0.342761076,0.253629068
1,8,TLR-4,Ileum,0.451207305,0.280289563
1,9,TLR-4,Ileum (Lymph),0.066114704,0.027131149
1,10,TLR-4,Ileum (Peyer's),-0.105453416,0.04176569
1,11,TLR-4,Colon,-0.091347964,0.042343967
1,12,TLR-4,Colon (Lymph),0.328978008,0.068136161
1,13,TLR-4,Prescapular (Lymph),0.758523817,0.016540813
1,14,TLR-4,Bronch (Lymph),0.977308009,0.137691261
1,1,TNF-a,Duodenum,-0.992990156,0.024343031
1,2,TNF-a,Duodenum (Lymph),1.092092304,0.166688545
1,3,TNF-a,Proximal Jejunum,-1.28245552,0.020668398
1,4,TNF-a,Middle Jejunum,-0.583681494,0.133606885
1,5,TNF-a,Distal Jejunum,5.02E-04,0.057520983
1,6,TNF-a,Jejunum (Lymph),0.875533949,0.096113814
1,7,TNF-a,Jejunum (Peyer's),-0.200671297,0.260752989
1,8,TNF-a,Ileum,1.019414912,0.140494069
1,9,TNF-a,Ileum (Lymph),1.003809385,0.204543696
1,10,TNF-a,Ileum (Peyer's),0.129359177,0.06506089
1,11,TNF-a,Colon,-1.326498385,0.034105732
1,12,TNF-a,Colon (Lymph),0.68903274,0.118172296
1,13,TNF-a,Prescapular (Lymph),0.708404711,0.153674738
1,14,TNF-a,Bronch (Lymph),0.88581199,0.218015613
3,1,IFN-g,Duodenum,-2.194886907,0.029974897
3,2,IFN-g,Duodenum (Lymph),0.650154987,0.086102327
3,3,IFN-g,Proximal Jejunum,-1.173634963,0.165294027
3,4,IFN-g,Middle Jejunum,-0.253752269,0.027185688
