Day,Order,Target,Location,Fold Change,StDev
1,1,IFN-g,Duodenum,-1.750896098,0.027477611
1,2,IFN-g,Prox Jejunum,-1.298230671,0.020947691
1,3,IFN-g,Mid Jejunum,-0.169114712,0.486434106
1,4,IFN-g,Dist Jejunum,0.94333189,0.465226111
1,5,IFN-g,Ileum,-0.797182914,0.057690257
1,6,IFN-g,Colon,-1.983029092,0.033608862
1,1,IL-10,Duodenum,-2.903776036,0.004501552
1,2,IL-10,Prox Jejunum,-1.9654052,0.01079484
1,3,IL-10,Mid Jejunum,-2.053359522,0.010627696
1,4,IL-10,Dist Jejunum,-3.570206522,0.010990859
1,5,IL-10,Ileum,1.295781006,0.131716208
1,6,IL-10,Colon,-2.97205596,0.004347895
1,1,IL-4,Duodenum,-2.181776885,0.020185637
1,2,IL-4,Prox Jejunum,-1.491638148,0.108485959
1,3,IL-4,Mid Jejunum,-1.781253528,0.061850988
1,4,IL-4,Dist Jejunum,0.054423538,0.249932148
1,5,IL-4,Ileum,-2.144539106,0.017225018
1,6,IL-4,Colon,-2.525796945,0.001152965
1,1,TLR-10,Duodenum,-1.426096558,0.069183897
1,2,TLR-10,Prox Jejunum,-2.983564219,0.036084687
1,3,TLR-10,Mid Jejunum,-1.168803665,0.309051968
1,4,TLR-10,Dist Jejunum,1.958418198,0.531205528
1,5,TLR-10,Ileum,2.100099393,1.113832932
1,6,TLR-10,Colon,-3.587585363,0.020012991
1,1,TLR-2,Duodenum,-1.225950796,0.064381952
1,2,TLR-2,Prox Jejunum,-2.147842507,0.046137311
1,3,TLR-2,Mid Jejunum,-0.684882381,0.25979326
1,4,TLR-2,Dist Jejunum,1.064527944,0.328585201
1,5,TLR-2,Ileum,0.13405738,0.693468143
1,6,TLR-2,Colon,-1.646245315,0.043289556
1,1,TLR-4,Duodenum,-0.451494837,0.053137007
1,2,TLR-4,Prox Jejunum,-1.411979275,0.038569723
1,3,TLR-4,Mid Jejunum,-0.551588495,0.145889568
1,4,TLR-4,Dist Jejunum,1.082559885,0.241085771
1,5,TLR-4,Ileum,0.451207305,0.280289563
1,6,TLR-4,Colon,-0.091347964,0.042343967
1,1,TNF-a,Duodenum,-0.992990156,0.024343031
1,2,TNF-a,Prox Jejunum,-1.28245552,0.020668398
1,3,TNF-a,Mid Jejunum,-0.583681494,0.133606885
1,4,TNF-a,Dist Jejunum,5.02E-04,0.057520983
1,5,TNF-a,Ileum,1.019414912,0.140494069
1,6,TNF-a,Colon,-1.326498385,0.034105732
3,1,IFN-g,Duodenum,-2.194886907,0.029974897
3,2,IFN-g,Prox Jejunum,-1.173634963,0.165294027
3,3,IFN-g,Mid Jejunum,-0.253752269,0.027185688
3,4,IFN-g,Dist Jejunum,-0.557852007,0.054894358
3,5,IFN-g,Ileum,-0.227110788,0.13205582
3,6,IFN-g,Colon,-0.867920722,0.126421193
3,1,IL-10,Duodenum,-3.305292144,0.001390395
3,2,IL-10,Prox Jejunum,-2.397722841,0.022036878
3,3,IL-10,Mid Jejunum,-0.608753981,0.039675228
3,4,IL-10,Dist Jejunum,-2.762515684,0.006751456
3,5,IL-10,Ileum,0.593331049,0.363505214
3,6,IL-10,Colon,-1.79444915,0.072101546
3,1,IL-4,Duodenum,-2.468303162,0.013404746
3,2,IL-4,Prox Jejunum,-1.910592581,0.094825267
3,3,IL-4,Mid Jejunum,-0.575017706,0.037622771
3,4,IL-4,Dist Jejunum,-1.058661331,0.034970921
3,5,IL-4,Ileum,-1.178206465,0.026999989
3,6,IL-4,Colon,-2.258909624,0.030090976
3,1,TLR-10,Duodenum,-3.468034661,0.005476861
3,2,TLR-10,Prox Jejunum,-1.939537922,0.104266389
3,3,TLR-10,Mid Jejunum,0.048453941,0.252494901
3,4,TLR-10,Dist Jejunum,-2.221306573,0.07190875
3,5,TLR-10,Ileum,1.096785114,0.407900735
3,6,TLR-10,Colon,-2.235797189,0.026948674
3,1,TLR-2,Duodenum,-3.350028456,0.004170209
3,2,TLR-2,Prox Jejunum,-1.647947324,0.143686042
3,3,TLR-2,Mid Jejunum,0.469049015,0.239836201
3,4,TLR-2,Dist Jejunum,-2.100045713,0.041971973
3,5,TLR-2,Ileum,-0.871278915,0.025906301
3,6,TLR-2,Colon,-1.746493164,0.031737215
3,1,TLR-4,Duodenum,-1.065631341,0.035682353
3,2,TLR-4,Prox Jejunum,-1.746013722,0.054145623
3,3,TLR-4,Mid Jejunum,-0.451932872,0.049062872
3,4,TLR-4,Dist Jejunum,-1.234177726,0.031411121
3,5,TLR-4,Ileum,-0.1983388,0.066426986
3,6,TLR-4,Colon,0.084946594,0.038111063
3,1,TNF-a,Duodenum,-1.454068326,0.032807697
3,2,TNF-a,Prox Jejunum,-1.694639814,0.02362543
3,3,TNF-a,Mid Jejunum,-0.556672547,0.04312304
3,4,TNF-a,Dist Jejunum,-0.121138347,0.103648212
3,5,TNF-a,Ileum,0.613147797,0.202213399
3,6,TNF-a,Colon,-0.408261898,0.125138742
7,1,IFN-g,Duodenum,-0.838822724,0.19025044
7,2,IFN-g,Prox Jejunum,-1.877736135,0.040111751
7,3,IFN-g,Mid Jejunum,-0.287265331,0.056613002
7,4,IFN-g,Dist Jejunum,1.333190608,2.148093891
